stringArray,numericArray
resultado0-gen0,0.0322935294984889
resultado1-gen0,0
resultado10-gen0,0.147633404928995
resultado11-gen0,0.0238425931405716
resultado12-gen0,0.23217908126887
resultado13-gen0,0.0660646419682529
resultado14-gen0,0.00590404716789081
resultado15-gen0,0.168664342728283
resultado16-gen0,0.0567685844821245
resultado17-gen0,0.107588641463271
resultado18-gen0,0.0595153629795621
resultado19-gen0,0.385402666752762
resultado2-gen0,0.0716368081855098
resultado20-gen0,0.377543187387347
resultado21-gen0,0.0350755569391171
resultado22-gen0,0.00198555672942405
resultado23-gen0,0
resultado24-gen0,0
resultado25-gen0,0.117107903757063
resultado26-gen0,0.185668675950003
resultado27-gen0,0.0546367236805642
resultado28-gen0,0.00482764291939127
resultado29-gen0,0.0657951893823295
resultado3-gen0,0.25345204566421
resultado30-gen0,0.066682037690812
resultado31-gen0,0.221882187021932
resultado32-gen0,0.0242092099301258
resultado33-gen0,0.217537880635107
resultado34-gen0,0.0827077046120046
resultado35-gen0,0
