bestStrings,bestResults
resultado11-gen0,0.0370160614677799
Segundo mejor individuo 2 iter,0.0341429562684108
resultado24-gen1,0.037244729846214
resultado27-gen1,0.038840455009417
resultado36-gen1,0.0380357032423599
resultado37-gen1,0.0343589728735735
resultado38-gen1,0.0404653816084842
resultado80-gen1,0.0370137616996516
resultado83-gen1,0.0391969399454074
resultado93-gen1,0.0347427064184407
resultado99-gen1,0.0341458882954274
mejor individuo gen1,0.0404653816084842
resultado10-gen2,0.0400695781003231
resultado11-gen2,0.0416131647239032
resultado15-gen2,0.037288078831756
resultado16-gen2,0.0372505728560619
resultado17-gen2,0.0379243996301135
resultado18-gen2,0.0349221517766367
resultado22-gen2,0.0376081269871229
resultado24-gen2,0.0352276719658835
resultado25-gen2,0.0361412222775749
resultado27-gen2,0.0342187405259689
resultado31-gen2,0.0381956792592938
resultado36-gen2,0.0398882669912545
resultado41-gen2,0.0431478815988353
resultado42-gen2,0.0388861922168667
resultado53-gen2,0.0404105819589198
resultado59-gen2,0.0360418112928014
resultado64-gen2,0.0375088499282638
resultado66-gen2,0.0373942200147333
resultado7-gen2,0.0350038760805444
resultado71-gen2,0.0365376235746865
resultado8-gen2,0.0359544015135061
resultado80-gen2,0.0347685289969552
resultado81-gen2,0.0448409028048206
resultado84-gen2,0.0362456758390325
resultado86-gen2,0.0384433501688837
resultado89-gen2,0.0343380942144408
resultado95-gen2,0.0367467776682978
resultado96-gen2,0.0355913171576681
Segundo mejor individuo 2 iter,0.0341429562684108
