stringArray,numericArray
resultado0-gen0,0.00972574683676599
resultado1-gen0,0.0114450861462483
resultado10-gen0,0
resultado11-gen0,0.0370160614677799
resultado12-gen0,0.00199763330387342
resultado13-gen0,0
resultado14-gen0,0.0309198962914652
resultado15-gen0,0
resultado16-gen0,0
resultado17-gen0,0.00283122284985494
resultado18-gen0,0
resultado19-gen0,0.00876483328024512
resultado2-gen0,0
resultado20-gen0,0.0303519088923606
resultado21-gen0,0.01597118751927
resultado22-gen0,0.0158837727967405
resultado23-gen0,0.0280268488916557
resultado24-gen0,0.0234341753617624
resultado25-gen0,0
resultado26-gen0,0.00413217955475692
resultado27-gen0,0
resultado28-gen0,0.0086475225364919
resultado29-gen0,0
resultado3-gen0,0.00403520082384907
resultado30-gen0,0.00939988190395188
resultado31-gen0,0.00587854593617864
resultado32-gen0,0
resultado33-gen0,0
resultado34-gen0,0
resultado35-gen0,0.026004566514038
resultado36-gen0,0
resultado37-gen0,0.00243097659754129
resultado38-gen0,0.00394158641780109
resultado39-gen0,0.00260169706071572
resultado4-gen0,0.0133937468816563
resultado40-gen0,0.00403435703995371
resultado41-gen0,0.00348097465749045
resultado42-gen0,8.33310998775308e-06
resultado43-gen0,0.0111321104858705
resultado44-gen0,0
resultado45-gen0,0.0127993623990558
resultado46-gen0,0.00245307958592805
resultado47-gen0,0
resultado48-gen0,0
resultado49-gen0,0.012949205994758
resultado5-gen0,0.00957205435918101
resultado50-gen0,0
resultado51-gen0,0.0013744268360208
resultado52-gen0,0
resultado53-gen0,0.00901364863629639
resultado54-gen0,0.00282523116351489
resultado55-gen0,0
resultado56-gen0,0
resultado57-gen0,0
resultado58-gen0,0.00684653028331845
resultado59-gen0,0.00886765493413357
resultado6-gen0,0
resultado60-gen0,0
resultado61-gen0,0
resultado62-gen0,0
resultado63-gen0,0.00633307776826899
resultado64-gen0,0.00667094764917556
resultado65-gen0,0
resultado66-gen0,0
resultado67-gen0,1.75036013659811e-06
resultado68-gen0,0
resultado69-gen0,0.0226623637414478
resultado7-gen0,0.00138951835766835
resultado70-gen0,0
resultado71-gen0,0
resultado72-gen0,0
resultado73-gen0,0
resultado74-gen0,0.000194735271320587
resultado75-gen0,0.00586230028303147
resultado76-gen0,0.00082433452959595
resultado77-gen0,0.0107631594104903
resultado78-gen0,0.0042931238360776
resultado79-gen0,0
resultado8-gen0,0.00341280364363713
resultado80-gen0,0.0060378520882614
resultado81-gen0,0
resultado82-gen0,0
resultado83-gen0,0.00267163569863548
resultado84-gen0,0
resultado85-gen0,0.00439464197080857
resultado86-gen0,0
resultado87-gen0,0
resultado88-gen0,0.0216170761422976
resultado89-gen0,0.0130376856491816
resultado9-gen0,0
resultado90-gen0,0.0144206187626266
resultado91-gen0,0
resultado92-gen0,0
resultado93-gen0,3.73072644900422e-05
resultado94-gen0,0
resultado95-gen0,0.00275502684373126
resultado96-gen0,0.00904465835881028
resultado97-gen0,0.00275201417028192
resultado98-gen0,0.00389344885230545
resultado99-gen0,0.0254125235132319
mejor individuo gen0,0.0280268488916557
resultado10-gen1,0.0417427572318509
resultado11-gen1,0.0197012087989859
resultado12-gen1,0.0316813057778812
resultado13-gen1,0.0183913149595284
resultado14-gen1,0.00164916557603223
resultado15-gen1,0.00655503457935319
resultado16-gen1,0.00736388045092183
resultado17-gen1,0.0290725449383926
resultado18-gen1,0.0222525153133238
resultado19-gen1,0.0231323170957912
resultado2-gen1,0.0107576752838555
resultado20-gen1,0.019854112264545
resultado21-gen1,0.0129260805855521
resultado22-gen1,0.021447352219005
resultado23-gen1,0.000555387800426435
resultado24-gen1,0.037244729846214
resultado25-gen1,0.0259235562856304
resultado26-gen1,0.0179367637105911
resultado27-gen1,0.038840455009417
resultado28-gen1,0.0040433649256567
resultado29-gen1,0.0163771255102495
resultado3-gen1,0.0307564860263137
resultado30-gen1,0.00475087678344572
resultado31-gen1,0.0299746525783777
resultado32-gen1,0.0171677561308824
resultado33-gen1,0.0332135045589011
resultado34-gen1,0.0165507526414849
resultado35-gen1,0.00010504039125529
resultado36-gen1,0.0380357032423599
resultado37-gen1,0.0343589728735735
resultado38-gen1,0.0404653816084842
resultado39-gen1,0.004237198183218
resultado4-gen1,8.77515249457e-05
resultado40-gen1,0.01060032219351
resultado41-gen1,0.0151321839074336
resultado42-gen1,0.00662188391130081
resultado43-gen1,0.0311969527785523
resultado44-gen1,0.0274779601517925
resultado45-gen1,0.0241555933009092
resultado46-gen1,0
resultado47-gen1,0.0261018868725135
resultado48-gen1,0.014603062032302
resultado49-gen1,0.0249941415942834
resultado5-gen1,0.0134103202202148
resultado50-gen1,0.0259174730500921
resultado51-gen1,0.00145810250072175
resultado52-gen1,0.0231494481283258
resultado53-gen1,0.00305744224669341
resultado54-gen1,0.0203568153043105
resultado55-gen1,0.0251680675234283
resultado56-gen1,0.0302334716917058
resultado57-gen1,0.0105114785843269
resultado58-gen1,0.00198145021988831
resultado59-gen1,0.00659812996495675
resultado6-gen1,0.00883999353927369
resultado60-gen1,0.0241873418479848
resultado61-gen1,0.0158864144542045
resultado62-gen1,0.0068115910585963
resultado63-gen1,0.0154467219781675
resultado64-gen1,0
resultado65-gen1,0.0238575499648415
resultado66-gen1,8.36170339843517e-05
resultado67-gen1,0
resultado68-gen1,0.0235294006246074
resultado69-gen1,0.0247571580121299
resultado7-gen1,0.0184600360372002
resultado70-gen1,0.00779064057959633
resultado71-gen1,0.0233691699023568
resultado72-gen1,0.00794905663347881
resultado73-gen1,0.00706685375657662
resultado74-gen1,0.0211571625308111
resultado75-gen1,0.000809421040893309
resultado76-gen1,0.015723849747142
resultado77-gen1,0.0211855250640767
resultado78-gen1,0.0193203191544381
resultado79-gen1,0.0226331017607359
resultado8-gen1,0.0072958983068553
resultado80-gen1,0.0370137616996516
resultado81-gen1,0
resultado82-gen1,0.0282502459079133
resultado83-gen1,0.0391969399454074
resultado84-gen1,0.00843751253210197
resultado85-gen1,0.0325140986250489
resultado86-gen1,0.0125752908423635
resultado87-gen1,0.0341429562684108
resultado88-gen1,0.024291113528691
resultado89-gen1,0.0108312696140882
resultado9-gen1,0.00906867954068671
resultado90-gen1,0.0281260374480564
resultado91-gen1,0.00999069849077308
resultado92-gen1,0.00532368506990016
resultado93-gen1,0.0347427064184407
resultado94-gen1,0.0214946235363688
resultado95-gen1,0.0164999838250265
resultado96-gen1,0.0336480005475447
resultado97-gen1,0.0197960429174828
resultado98-gen1,0.0254463154122778
resultado99-gen1,0.0341458882954274
segundo mejor individuo gen0,0.0309198962914652
mejor individuo gen1,0.0404653816084842
resultado10-gen2,0.0400695781003231
resultado100-gen2,0.0140857132015933
resultado11-gen2,0.0416131647239032
resultado12-gen2,0.0269650763375376
resultado13-gen2,0.0269025387926215
resultado14-gen2,0.0248734742067233
resultado15-gen2,0.037288078831756
resultado16-gen2,0.0372505728560619
resultado17-gen2,0.0379243996301135
resultado18-gen2,0.0349221517766367
resultado19-gen2,0.0277200987377697
resultado2-gen2,0.0312486940251131
resultado20-gen2,0.00885808839861554
resultado21-gen2,0.0177202297145674
resultado22-gen2,0.0376081269871229
resultado23-gen2,0.0218608303345678
resultado24-gen2,0.0352276719658835
resultado25-gen2,0.0361412222775749
resultado26-gen2,0.0228687963091773
resultado27-gen2,0.0342187405259689
resultado28-gen2,0
resultado29-gen2,0.0212499832684702
resultado3-gen2,0.0325557377768082
resultado30-gen2,0.0141794801022
resultado31-gen2,0.0381956792592938
resultado32-gen2,0.0181810406694039
resultado33-gen2,0.0239159066849359
resultado34-gen2,0.0323351204477073
resultado35-gen2,0.0105716801100192
resultado36-gen2,0.0398882669912545
resultado37-gen2,0.0335647849633466
resultado38-gen2,0
resultado39-gen2,0.0287196854975926
resultado4-gen2,0.0232591047583502
resultado40-gen2,0.0201654325795382
resultado41-gen2,0.0431478815988353
resultado42-gen2,0.0388861922168667
resultado43-gen2,0.0154828910563134
resultado44-gen2,0.0116897759958932
resultado45-gen2,0.0156552418652522
resultado46-gen2,0.0243192526234715
resultado47-gen2,0.0326868712680242
resultado48-gen2,0.0310952976000871
resultado49-gen2,0.0265626692948553
resultado5-gen2,0.0215522936798809
resultado50-gen2,0.0151123505212863
resultado51-gen2,0.0150773832340679
resultado52-gen2,3.45209337350607e-05
resultado53-gen2,0.0404105819589198
resultado54-gen2,0.0244659930343388
resultado55-gen2,0.0147314868712141
resultado56-gen2,0.00884189037909746
resultado57-gen2,0.0123666215098543
resultado58-gen2,0.0327776014138706
resultado59-gen2,0.0360418112928014
resultado6-gen2,0.0209304963595155
resultado60-gen2,0.0250928261423462
resultado61-gen2,0.0231452216630056
resultado62-gen2,0.0331505183025353
resultado63-gen2,0.0128666178694521
resultado64-gen2,0.0375088499282638
resultado65-gen2,0.0104352022962564
resultado66-gen2,0.0373942200147333
resultado67-gen2,0.0335429561910011
resultado68-gen2,0.0329619374234857
resultado69-gen2,0.0282724355149401
resultado7-gen2,0.0350038760805444
resultado70-gen2,0.0138012572207352
resultado71-gen2,0.0365376235746865
resultado72-gen2,0.0317724335202761
resultado73-gen2,0.0237408296488237
resultado74-gen2,0.0250269172101104
resultado75-gen2,0.000701261088426048
resultado76-gen2,0.00823134580023558
resultado77-gen2,0.0187975612999289
resultado78-gen2,0.00879758491541425
resultado79-gen2,0.015313383770169
resultado8-gen2,0.0359544015135061
resultado80-gen2,0.0347685289969552
resultado81-gen2,0.0448409028048206
resultado82-gen2,0.0319162825094353
resultado83-gen2,0
resultado84-gen2,0.0362456758390325
resultado85-gen2,0.0295138770149827
resultado86-gen2,0.0384433501688837
resultado87-gen2,0.0302927040701737
resultado88-gen2,0.030149190858905
resultado89-gen2,0.0343380942144408
resultado9-gen2,0.0240073789364386
resultado90-gen2,0.023558248180205
resultado91-gen2,0.0137818269790064
resultado92-gen2,0.0177949469420262
resultado93-gen2,0.00941375996926391
resultado94-gen2,0.0281514482538685
resultado95-gen2,0.0367467776682978
resultado96-gen2,0.0355913171576681
resultado97-gen2,0.0265250616917388
resultado98-gen2,0.0123318871151704
resultado99-gen2,0.0302916982040608
segundo mejor individuo gen1,0.0341429562684108
